Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Baseball vs TBA (at higher seed)","5/9/2025","3:00PM","5/9/2025","6:00 PM","","Baseball","Baseball vs TBA (at higher seed) ",""
"Baseball vs TBA (at La Verne, if CMS advances)","5/10/2025","TBA","5/10/2025","3:00 AM","","Baseball","Baseball vs TBA (at La Verne, if CMS advances) ",""
"Women's Tennis vs Colby-Sawyer/Farmingdale St.","5/10/2025","TBA","5/10/2025","3:00 AM","Amherst, Mass.","Women's Tennis","Women's Tennis vs Colby-Sawyer/Farmingdale St. Amherst, Mass.",""
"Softball vs TBA","5/10/2025","TBA","5/10/2025","3:00 AM","at No. 1 seed","Softball","Softball vs TBA at No. 1 seed",""
"Men's Tennis vs Regional Finals (if CMS Advances)","5/10/2025","1:00PM","5/10/2025","4:00 PM","Claremont, CA","Men's Tennis","Men's Tennis vs Regional Finals (if CMS Advances) Claremont, CA","Biszantz Family Tennis Center"
"Women's Tennis vs Regional Finals (if CMS Advances)","5/11/2025","TBA","5/11/2025","3:00 AM","Amherst, Mass.","Women's Tennis","Women's Tennis vs Regional Finals (if CMS Advances) Amherst, Mass.",""
"Softball vs TBA","5/11/2025","TBA","5/11/2025","3:00 AM","at No. 1 seed","Softball","Softball vs TBA at No. 1 seed",""
"Women's Golf at NCAA Division III Championships","5/13/2025","6:00AM","5/16/2025","4:00 PM","Kingsmill Resort (Williamsburg, VA)","Women's Golf","Women's Golf at NCAA Division III Championships Kingsmill Resort (Williamsburg, VA)",""
"Women's Track and Field at Redlands Final Qualifier","5/14/2025","12:00PM","5/15/2025","10:00 PM","Redlands, CA","Women's Track and Field","Women's Track and Field at Redlands Final Qualifier Redlands, CA",""
"Men's Track and Field at Redlands Final Qualifier","5/14/2025","12:00PM","5/15/2025","10:00 PM","Redlands, CA","Men's Track and Field","Men's Track and Field at Redlands Final Qualifier Redlands, CA",""
"Men's Tennis vs NCAA Team and Individual Finals","5/19/2025","TBA","5/25/2025","11:59 PM","Claremont, CA","Men's Tennis","Men's Tennis vs NCAA Team and Individual Finals Claremont, CA","Biszantz Family Tennis Center"
"Women's Tennis vs NCAA Championships (if CMS advances)","5/20/2025","TBA","5/26/2025","11:59 PM","Claremont, CA","Women's Tennis","Women's Tennis vs NCAA Championships (if CMS advances) Claremont, CA","Biszantz Family Tennis Center"
"Men's Golf at NCAA Championships","5/20/2025","6:00AM","5/23/2025","4:00 PM","Midvale CC/Irondequoit CC (Rochester, NY)","Men's Golf","Men's Golf at NCAA Championships Midvale CC/Irondequoit CC (Rochester, NY)",""
"Women's Track and Field at NCAA Championships (Geneva, Ohio)","5/22/2025","TBA","5/24/2025","11:59 PM","","Women's Track and Field","Women's Track and Field at NCAA Championships (Geneva, Ohio) ",""
